season,team,n_players,degree_centralization,edge_concentration_top5,edge_concentration_top10,modularity_Q,community_size_cv,minutes_gini,minutes_top1_share,minutes_top2_share,minutes_top3_share,minutes_assortativity,total_player_minutes,team_off_ppp,team_def_ppp,team_net_rating
2022-2023,UTA,10,0.1881264874181006,0.3091814001044861,0.5405641723326253,0.17059013232644554,0.39999999992,0.29925418262447073,0.18524491030034268,0.3573876234630115,0.5113888328965934,0.06269460192401527,9922.0,119.30242454230579,115.99881246907472,3.303612073231065
2022-2023,UTA,5,0.0,0.49999999995,0.9999999999,0.0,0.0,0.0,0.2,0.4,0.6000000000000001,1.0,3145.0,112.7,113.4,-0.7000000000000028
2022-2023,WAS,7,0.17136404529704946,0.36149012759657206,0.6186580123792464,-1.1102230246251565e-16,0.0,0.15673981191222566,0.20085916637640774,0.3841866945315221,0.5549750377336584,0.04987519657465175,8613.0,120.99560499186107,115.38958220293,5.606022788931071
2023-2024,ATL,10,0.1445370871148162,0.24295487237519547,0.44566390838566444,0.047652118548991235,0.19999999996,0.2569142125480154,0.164265898420828,0.301056338028169,0.4362462654716176,0.20684627417561188,18744.0,118.47154514345878,117.61289813108715,0.8586470123716339
2023-2024,ATL,5,0.0,0.49999999995,0.9999999999,0.0,0.0,0.0,0.2,0.4,0.6000000000000001,1.0,3140.0,109.2,124.60000000000001,-15.400000000000006
2023-2024,BKN,7,0.153714388078416,0.3439674081794799,0.624681048669355,5.551115123125783e-16,0.0,0.15317814832283652,0.206156535249563,0.3815303942513109,0.5319479510584579,-0.08662562537316523,10298.0,113.14908148845973,113.71267074894018,-0.5635892604804553
2023-2024,BKN,5,0.0,0.49999999995,0.9999999999,0.0,0.0,0.0,0.2,0.4,0.6000000000000001,1.0,3125.0,113.4,110.2,3.200000000000003
2023-2024,BOS,8,0.17999245317700538,0.3593997226617572,0.6633640338059614,0.09509972840977053,0.499999999875,0.25667581530513406,0.18430739425250242,0.3604778818211172,0.5311591863093316,0.4015848704590755,15485.0,123.7074074074074,111.10676883780333,12.600638569604072
2023-2024,BOS,6,0.2,0.4999999999500001,0.866323377874233,-2.220446049250313e-16,0.0,0.14438722966014414,0.2,0.4,0.6000000000000001,-0.23666826069226166,9710.0,121.19871266735326,112.84114315139031,8.35756951596295
2023-2024,CHA,10,0.12054596778861836,0.3040792504164604,0.5237159348125582,0.30622225811864395,0.19999999996,0.2612836970474966,0.2094993581514763,0.37933247753530175,0.4907573812580232,0.33038966274706644,7790.0,110.41857304643263,118.66817667044165,-8.249603624009026
2023-2024,CHI,9,0.22484172318231313,0.35662109667008635,0.6014698089504471,0.030690504524087427,0.11111111108641974,0.3255457106969481,0.2030553009471433,0.39162847540482737,0.5725022914757104,0.035081789236757574,16365.0,111.09906710803489,115.64724646403853,-4.548179356003644
2023-2024,CHI,5,0.0,0.49999999995,0.9999999999,0.0,0.0,0.0,0.2,0.4,0.6000000000000001,1.0,4435.0,108.3,110.1,-1.7999999999999972
2023-2024,CLE,9,0.14782960658165564,0.27387027858960716,0.4727311286519632,0.06136840920878883,0.2721655268851868,0.21075884228230024,0.18397469688982604,0.33669704043979215,0.4711198132389487,0.12032109800554185,13279.0,120.65938783128033,110.90399402762225,9.75539380365808
2023-2024,CLE,5,0.0,0.49999999995,0.9999999999,0.0,0.0,0.0,0.2,0.4,0.6000000000000001,1.0,3825.0,114.0,111.7,2.299999999999997
